reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
319182d9-dc65-4176-b2e2-3de56dc7566c,anton wiyono,https://play-lh.googleusercontent.com/a/ACg8ocJt2B4r0VbTCFs3jExwOaw2j_H6TUbQCFzwuV6EihYkwSoC=mo,APLIKASINYA PARAH...BUAT SCROLL² KE BAWAH BBERAPA MENIT BUAT PILIH² BARANG..TIBA TIBA SUKA FORCE CLOSE SENDIRI..ITUBTERJADI DI DUA DEVICE BERBEDA..PUNYAKU OPPO RENO 13F 5G SAMA OPPO A6 PRO 5G..BANYAK BUG NYA...PARAH...,1,0,3.336.0,2025-11-06 18:27:49,,,3.336.0
c93ffe76-93ce-4817-9dd3-e36f03a06e41,Gusti Pangestu,https://play-lh.googleusercontent.com/a-/ALV-UjX15iy69gHeddyh96bilE1waNbT88WtDtDRY6G_b_SgGyQgLJhM,"harus ada komplain langsung dari customer sama pihak ekspedisi nya, benci banget sama orang2 yg kerja nya lelet. Dan harus diseleksi ekspedisi yg ga profesional gausah dicantumkan jadi kurir rekomendasi. Buang2 waktu",1,0,3.333.0,2025-11-06 18:07:01,,,3.333.0
a0a29883-be97-44b8-b6fd-d7f0cd080f1d,Ryan Zulkifli,https://play-lh.googleusercontent.com/a-/ALV-UjUkbI7g7J63BPzmig7S4wl8sQedZsAMVZhKTVr2WJgwV4b7KR3c,App performance is getting worse,1,0,3.336.0,2025-11-06 17:38:23,,,3.336.0
a232c784-7471-4da8-9178-f4d44adcc7fd,War Street,https://play-lh.googleusercontent.com/a/ACg8ocJ8AG-WyIl_fxwyvOP6ERJAn3bqYC07ZGBcEx5NZOSr2CM7Gw=mo,no longer direct buy via laptop. forcing buying from handphone,1,0,,2025-11-06 16:58:15,,,
5a3354ab-e08c-441a-bb90-0610ad71f6a8,Rizky Dermawan,https://play-lh.googleusercontent.com/a-/ALV-UjXCLAmvvLjTgk5fHwhMOyP6dxNiLbsFIra7eVFn1Gpe4sshie_0,"Update ASAP woy, makin gaje app-nya loading picture ga muncul2, jangan cuma promo doang.",1,0,3.337.1,2025-11-06 15:23:56,,,3.337.1
a91d31f5-cfe1-4c9c-ad58-a10c9d1933cf,alfan aldino,https://play-lh.googleusercontent.com/a-/ALV-UjW1bfiogPbcA3BuwHZYdApv-c0Vf4LdikCiQ4RLt86UkKJEsgB0,semenjak merger apk tokped sering problem terus,2,0,3.337.1,2025-11-06 14:59:09,,,3.337.1
3d07d883-5017-4574-a6d5-e91856984b02,Batiar,https://play-lh.googleusercontent.com/a-/ALV-UjWS5mnt4wAKggY2T0H1ehCdnpHlbXtFZeFcrlGgr0axXra-ZmJb,INI KENAPA SETIAP MAU PEMBAYARAN SELAKU GANGGUAN?? PADAHAL SINYAL KENCANG GAK ADA MASALAH. KONYOL NIH APK,1,0,3.318.0,2025-11-06 14:20:25,,,3.318.0
76362748-90b6-40aa-9007-d780c6ca2195,Sinyo F,https://play-lh.googleusercontent.com/a/ACg8ocLQnrIcCQl-meUR_1GMqyIy9cwaeQCcjcgnVfuKOi89dfqe7Q=mo,ini aplikasi udah kaya game moba aja lemot cepet panas batre cepet habis yg sebelah ngga gini deh,3,1,3.334.1,2025-11-06 12:43:50,"Hai Kak Sinyo, jangan khawatir untuk kendala Kakak bisa klik link berikut ya agar dibantu pengecekan lebih lanjut tkp.me/supportMainapps  Kami akan selalu berinovasi untuk bisa menyediakan yang terbaik bagi seluruh pengguna. -FN",2021-02-03 11:13:47,3.334.1
570613b0-890e-43e0-83d8-d9d500ea7e78,Ari Firmansyah,https://play-lh.googleusercontent.com/a-/ALV-UjU34XvL5PfW8saLlPduRVLyIdtPzaUrvK2QtDw7FjLxnZyx8yY,bagus,5,0,3.334.1,2025-11-06 12:02:43,,,3.334.1
f6e7be86-61f1-4689-8bec-8c8084959da6,ꦣꦶꦩꦱ꧀ ꦛꦿꦼꦄꦼꦄ,https://play-lh.googleusercontent.com/a-/ALV-UjXDQA61afo3iWOFFfme0ywgPKQoEfjR-YrxdQzsqNtNBYVP3z0,"Kurir gtl yogya tidak berkompeten, Tolong di berikan opsi ekspedisi lain yang lebih sat-set. Seperti ninja / anteraja yang terdekat dengan domisili konsumen",1,0,,2025-11-06 10:30:42,,,
